Z_m,t_s,T_C
0.003822975,206.9001653,322.6853678
0.003822975,207.0001574,321.3016685
0.003822975,207.1001495,319.9261212
0.003822975,207.2001416,318.5586614
0.003822975,207.3001338,317.1992251
0.003822975,207.4001259,315.847749
0.003822975,207.500118,314.5041707
0.003822975,207.6001101,313.1684282
0.003822975,207.7001023,311.8404601
0.003822975,207.8000944,310.5202059
0.003822975,207.9000865,309.2076056
0.003822975,208.0000786,307.9025998
0.003822975,208.1000708,306.6051298
0.003822975,208.2000629,305.3151373
0.003822975,208.300055,304.0325649
0.003822975,208.4000471,302.7573555
0.003822975,208.5000392,301.4894529
0.003822975,208.6000314,300.2288011
0.003822975,208.7000235,298.975345
0.003822975,208.8000156,297.72903
0.003822975,208.9000077,296.4898017
0.003822975,209.0001732,295.2554774
0.003822975,209.1001653,294.0302748
0.003822975,209.2001574,292.8119999
0.003822975,209.3001495,291.6006008
0.003822975,209.4001416,290.3960258
0.003822975,209.5001338,289.1982242
0.003822975,209.6001259,288.0071455
0.003822975,209.700118,286.8227398
0.003822975,209.8001101,285.6449575
0.003822975,209.9001023,284.4737499
0.003822975,210.0000944,283.3090682
0.003822975,210.1000865,282.1508647
0.003822975,210.2000786,280.9989926
0.003822975,210.3000708,279.8537521
0.003822975,210.4000629,278.7744192
0.003822975,210.500055,278.1578513
0.003822975,210.6000471,279.7617435
0.003822975,210.7000392,292.2744166
0.003822975,210.8000314,351.8338001
0.003822975,210.9000235,508.9143979
0.003822975,211.0000156,650.02031
0.003822975,211.1000077,735.4382844
0.003822975,211.2001732,788.9994737
0.003822975,211.3001653,816.1410299
0.003822975,211.4001574,843.213804
0.003822975,211.5001495,862.4104258
0.003822975,211.6001416,877.3957539
0.003822975,211.7001338,889.5589397
0.003822975,211.8001259,899.0888132
0.003822975,211.900118,903.3075206
0.003822975,212.0001101,908.1337843
0.003822975,212.1001023,917.4783507
0.003822975,212.2000944,924.4804687
0.003822975,212.3000865,930.0720755
0.003822975,212.4000786,935.2330069
0.003822975,212.5000708,939.9062658
0.003822975,212.6000629,944.0507203
0.003822975,212.700055,947.7005342
0.003822975,212.8000471,949.0869047
0.003822975,212.9000392,949.3373158
0.003822975,213.0000314,949.637416
0.003822975,213.1000235,949.9475977
0.003822975,213.2000156,953.847086
0.003822975,213.3000077,955.5195655
0.003822975,213.4001732,956.3604566
0.003822975,213.5001653,956.6233042
0.003822975,213.6001574,956.4145353
0.003822975,213.7001495,955.7986728
0.003822975,213.8001416,954.8235507
0.003822975,213.9001338,953.5277503
0.003822975,214.0001259,951.9438127
0.003822975,214.100118,950.099941
0.003822975,214.2001101,949.8844434
0.003822975,214.3001023,949.6593984
0.003822975,214.4000944,949.3563278
0.003822975,214.5000865,948.1084918
0.003822975,214.6000786,942.1873019
0.003822975,214.7000707,938.5414763
0.003822975,214.8000629,935.0423495
0.003822975,214.900055,931.4853532
0.003822975,215.0000471,928.2081886
0.003822975,215.1000392,927.3300292
0.003822975,215.2000314,926.668068
0.003822975,215.3000235,922.7014592
0.003822975,215.4000156,917.5187946
0.003822975,215.5000077,913.001642
0.003822975,215.6001732,909.3015362
0.003822975,215.7001653,907.7301205
0.003822975,215.8001574,906.5112754
0.003822975,215.9001495,900.7936822
0.003822975,216.0001416,895.8300225
0.003822975,216.1001338,892.0261142
0.003822975,216.2001259,889.9367041
0.003822975,216.300118,887.0627646
0.003822975,216.4001101,881.9046086
0.003822975,216.5001023,877.3818892
0.003822975,216.6000944,874.5229856
0.003822975,216.7000865,871.8128683
0.003822975,216.8000786,867.0135528
0.003822975,216.9000707,862.6375896
0.003822975,217.0000629,859.5570069
0.003822975,217.100055,856.2364953
0.003822975,217.2000471,851.6640132
0.003822975,217.3000392,847.799034
0.003822975,217.4000314,844.6951671
0.003822975,217.5000235,840.6307957
0.003822975,217.6000156,836.5062726
0.003822975,217.7000077,833.1033899
0.003822975,217.8001731,829.3738626
0.003822975,217.9001653,825.3245607
0.003822975,218.0001574,821.7732102
0.003822975,218.1001495,818.1059725
0.003822975,218.2001416,814.2034373
0.003822975,218.3001338,810.6356596
0.003822975,218.4001259,806.9428286
0.003822975,218.500118,803.1830122
0.003822975,218.6001101,799.6268976
0.003822975,218.7001023,795.9353483
0.003822975,218.8000944,792.3115424
0.003822975,218.9000865,788.7379198
0.003822975,219.0000786,785.1158517
0.003822975,219.1000707,781.5786564
0.003822975,219.2000629,778.0132172
0.003822975,219.300055,774.4933771
0.003822975,219.4000471,770.9829755
0.003822975,219.5000392,767.4948144
0.003822975,219.6000314,764.0293754
0.003822975,219.7000235,760.5823089
0.003822975,219.8000156,757.1588941
0.003822975,219.9000077,753.7559667
0.003822975,220.0001731,750.3697145
0.003822975,220.1001653,747.01201
0.003822975,220.2001574,743.6766196
0.003822975,220.3001495,740.3651659
0.003822975,220.4001416,737.077285
0.003822975,220.5001338,733.8148296
0.003822975,220.6001259,730.5786248
0.003822975,220.700118,727.3701835
0.003822975,220.8001101,724.191079
0.003822975,220.9001023,721.0425487
0.003822975,221.0000944,717.9259977
0.003822975,221.1000865,714.8422058
0.003822975,221.2000786,711.7920043
0.003822975,221.3000707,708.7756918
0.003822975,221.4000629,705.7934249
0.003822975,221.500055,702.8447474
0.003822975,221.6000471,699.9275444
0.003822975,221.7000392,697.0348046
0.003822975,221.8000314,694.1547835
0.003822975,221.9000235,691.2752807
0.003822975,222.0000156,688.3868744
0.003822975,222.1000077,685.4837438
0.003822975,222.2001731,682.5580993
0.003822975,222.3001653,679.6196089
0.003822975,222.4001574,676.6642413
0.003822975,222.5001495,673.6938776
0.003822975,222.6001416,670.7108458
0.003822975,222.7001338,667.7176462
0.003822975,222.8001259,664.7167803
0.003822975,222.900118,661.7106505
0.003822975,223.0001101,658.701506
0.003822975,223.1001023,655.6914181
0.003822975,223.2000944,652.6822744
0.003822975,223.3000865,649.6757824
0.003822975,223.4000786,646.6734795
0.003822975,223.5000707,643.6767464
0.003822975,223.6000629,640.68682
0.003822975,223.700055,637.7048077
0.003822975,223.8000471,634.7317002
0.003822975,223.9000392,631.7683831
0.003822975,224.0000314,628.8156482
0.003822975,224.1000235,625.8742029
0.003822975,224.2000156,622.9446789
0.003822975,224.3000077,620.0276401
0.003822975,224.4001731,617.1185677
0.003822975,224.5001653,614.227976
0.003822975,224.6001574,611.3512183
0.003822975,224.7001495,608.4886473
0.003822975,224.8001416,605.640575
0.003822975,224.9001338,602.8072764
0.003822975,225.0001259,599.9889928
0.003822975,225.100118,597.1859348
0.003822975,225.2001101,594.3982849
0.003822975,225.3001023,591.6262003
0.003822975,225.4000944,588.8698147
0.003822975,225.5000865,586.1292406
0.003822975,225.6000786,583.4045706
0.003822975,225.7000707,580.6958798
0.003822975,225.8000629,578.0032264
0.003822975,225.900055,575.326654
0.003822975,226.0000471,572.6661921
0.003822975,226.1000392,570.0218575
0.003822975,226.2000314,567.3936553
0.003822975,226.3000235,564.7815802
0.003822975,226.4000156,562.1856168
0.003822975,226.5000077,559.6057409
0.003822975,226.6001731,557.0374904
0.003822975,226.7001653,554.489712
0.003822975,226.8001574,551.9579014
0.003822975,226.9001495,549.4420053
0.003822975,227.0001416,546.9419647
0.003822975,227.1001338,544.4577151
0.003822975,227.2001259,541.9891875
0.003822975,227.300118,539.5363083
0.003822975,227.4001101,537.0990001
0.003822975,227.5001022,534.6771818
0.003822975,227.6000944,532.270769
0.003822975,227.7000865,529.8796745
0.003822975,227.8000786,527.5038083
0.003822975,227.9000707,525.1430783
0.003822975,228.0000629,522.7973899
0.003822975,228.100055,520.4666469
0.003822975,228.2000471,518.1507514
0.003822975,228.3000392,515.849604
0.003822975,228.4000314,513.5631041
0.003822975,228.5000235,511.2911498
0.003822975,228.6000156,509.0336385
0.003822975,228.7000077,506.7904666
0.003822975,228.8001731,504.5576795
0.003822975,228.9001653,502.342898
0.003822975,229.0001574,500.142142
0.003822975,229.1001495,497.9553061
0.003822975,229.2001416,495.7822846
0.003822975,229.3001338,493.6229719
0.003822975,229.4001259,491.4772623
0.003822975,229.500118,489.3450503
0.003822975,229.6001101,487.2262302
0.003822975,229.7001022,485.1206968
0.003822975,229.8000944,483.028345
0.003822975,229.9000865,480.9490702
0.003822975,230.0000786,478.8827681
0.003822975,230.1000707,476.8293345
0.003822975,230.2000629,474.7886662
0.003822975,230.300055,472.7606602
0.003822975,230.4000471,470.745214
0.003822975,230.5000392,468.7422258
0.003822975,230.6000314,466.7515943
0.003822975,230.7000235,464.7732189
0.003822975,230.8000156,462.8069997
0.003822975,230.9000077,460.8528374
0.003822975,231.0001731,458.9072776
0.003822975,231.1001653,456.9769544
0.003822975,231.2001574,455.0583943
0.003822975,231.3001495,453.1515009
0.003822975,231.4001416,451.2561785
0.003822975,231.5001338,449.3723323
0.003822975,231.6001259,447.4998681
0.003822975,231.700118,445.6386926
0.003822975,231.8001101,443.7887134
0.003822975,231.9001022,441.9498386
0.003822975,232.0000944,440.1219774
0.003822975,232.1000865,438.3050396
0.003822975,232.2000786,436.4989359
0.003822975,232.3000707,434.7035778
0.003822975,232.4000629,432.9188775
0.003822975,232.500055,431.1447483
0.003822975,232.6000471,429.381104
0.003822975,232.7000392,427.6278593
0.003822975,232.8000314,425.8849297
0.003822975,232.9000235,424.1522317
0.003822975,233.0000156,422.4296823
0.003822975,233.1000077,420.7171995
0.003822975,233.2001731,419.01176
0.003822975,233.3001653,417.3191844
0.003822975,233.4001574,415.6364337
0.003822975,233.5001495,413.9634292
0.003822975,233.6001416,412.3000925
0.003822975,233.7001338,410.6463464
0.003822975,233.8001259,409.0021143
0.003822975,233.900118,407.3673202
0.003822975,234.0001101,405.7418892
0.003822975,234.1001022,404.1257469
0.003822975,234.2000944,402.5188197
0.003822975,234.3000865,400.9210347
0.003822975,234.4000786,399.3323198
0.003822975,234.5000707,397.7526035
0.003822975,234.6000629,396.1818153
0.003822975,234.700055,394.6198851
0.003822975,234.8000471,393.0667435
0.003822975,234.9000392,391.5223221
0.003822975,235.0000313,389.986553
0.003822975,235.1000235,388.4593689
0.003822975,235.2000156,386.9407032
0.003822975,235.3000077,385.4304902
0.003822975,235.4001731,383.926069
0.003822975,235.5001653,382.4325806
